部屋	へや	room
書く	かく	to write
帰る	かえ（る）	to go back
空いてます	あいてます	are you free
次	つぎ	next
明日	あした	tomorrow
払う	はらう	to pay
町	まち	town
一番	いちばん	first
高い	たかい	high
決める	きめる	to decide
友達	ともだち	friend
乗る	のる	to get on
学校	がっこう	school
祖父	そふ	grandfather
娘	むすめ	daughter
今	いま	now
足	あし	leg
仕事	しごと	work
笑う	わらう	to laugh
色	いろ	color
楽しい	たのしい	fun
短い	みじかい	short
全部	ぜんぶ	all
勉強	べんきょ	study
息子	むすこ	son
雑誌	ざっし	magazine
手紙	てがみ	letter
戻ります	もどります	to return
大事件	だいじけん	big incident
起こりました	おこりました	happened
背	せ	height
重い	おもい	heavy
漢字	かんじ	kanji
一緒	いっしょ	together
宿題	しゅくだい	homework
朝	あさ	morning
軽い	かるい	lightweight
赤ん坊	あかんぼう	baby
点	てん	point
兄	あに	older brother
水泳	すいえい	swimming
得意	とくい	good at
意外	いがい	surprising
朝ご飯	あさごはん	breakfast
作っています	つくっています	making
中国	ちゅうごく	China
自転車	じてんしゃ	bicycle
置く	おく	to put
客様	きゃくさま	customer
言葉	ことば	word
日程	にってい	schedule
勝つ	かつ	to win
数	かず	number
疲れる	つかれる	to get tired
平仮名	ひらがな	hiragana
建てる	たてる	to build
会社	かいしゃ	Company
忙しい	いそがしい	busy
続く	つづく	to continue
教える	おしえる	to teach
約束	やくそく	Promise
足りない	たりない	not enough
