別	べつ	another
終わる	おわる	end
送る	おくる	send
彼女	かのじょ	she
大好き	だいすき	I love you
猿	さる	monkey
落ちる	おちる	drop down
狭い	せまい	narrow
着る	きる	wear
夫	おっと	husband
胸	むね	chest
痛む	いたむ	hurt
週	しゅう	week
達人	たつじん	expert
飛行機	ひこうき	airplane
読む	よむ	read
誰	だれ	who
話し	はなし	story
知らない	しらない	don't know
結婚	けっこん	marriage
美しい	うつくしい	beautiful
絵	え	picture
忘れない	わすれない	don't forget
犬	いぬ	dog
病気	びょうき	sick
低い	ひくい	low
取る	とる	take
新しい	あたらしい	new
駅	えき	station
歩く	あるく	walk
難しい	むずかしい	difficult
覚える	おぼえる	remember
午前	ごぜん	morning
午後	ごご	afternoon
年	とし	year
長い	ながい	long
思う	おもう	think
旅行	りょこう	travel
変えました	かえました	changed
生きる	いきる	live
冬	ふゆ	winter
夏	なつ	summer
春	はる	spring
秋	あき	autumn
姉	あね	older sister
妹	いもと	younger sister
銀行	ぎんこう	bank
働く	はたらく	work
学生	がくせい	student
早い	はやい	fast
時間	じかん	time
食事	しょくじ	meal
近く	ちかく	near
彼	かれ	he
医者	いしゃ	doctor
上司	じょうし	boss
一杯	いっぱい	a cup of
飲もう	のもう	let's drink
